Total payé réel;Code pays de livraison
24.420000;FR
24.420000;FR
176.640000;FR
176.640000;FR
176.640000;FR
203.770000;FR
203.770000;FR
203.770000;FR
461.150000;FR
461.150000;FR
461.150000;FR
461.150000;FR
174.290000;FR
174.290000;FR
123.800000;IE
123.800000;IE
123.800000;IE
123.800000;IE
123.800000;IE
123.340000;FR
123.340000;FR
123.340000;FR
123.340000;FR
27.520000;FR
62.420000;FR
62.420000;FR
41.970000;FR
41.970000;FR
24.820000;FR
174.290000;FR
174.290000;FR
44.720000;FR
356.740000;LU
356.740000;LU
356.740000;LU
356.740000;LU
356.740000;LU
356.740000;LU
356.740000;LU
115.820000;FR
115.820000;FR
115.820000;FR
115.820000;FR
115.820000;FR
115.820000;FR
43.920000;FR
43.920000;FR
44.800000;GB
52.670000;FR
52.670000;FR
67.080000;ES
67.080000;ES
80.920000;FR
80.920000;FR
80.920000;FR
86.620000;FR
86.620000;FR
46.580000;FR
46.580000;FR
147.850000;FR
147.850000;FR
147.850000;FR
47.580000;FR
47.580000;FR
182.360000;FR
182.360000;FR
182.360000;FR
33.720000;BE
33.720000;BE
90.920000;FR
90.920000;FR
80.920000;FR
80.920000;FR
54.800000;DE
54.800000;DE
133.640000;FR
133.640000;FR
93.000000;FR
93.000000;FR
93.000000;FR
93.000000;FR
93.000000;FR
93.000000;FR
106.890000;BE
106.890000;BE
106.890000;BE
106.890000;BE
177.640000;BE
177.640000;BE
177.640000;BE
122.940000;FR
122.940000;FR
122.940000;FR
122.940000;FR
122.940000;FR
122.940000;FR
39.620000;BE
39.620000;BE
39.620000;BE
46.580000;ES
46.580000;ES
142.560000;FR
142.560000;FR
142.140000;FR
142.140000;FR
142.140000;FR
142.140000;FR
142.140000;FR
139.090000;FR
139.090000;FR
139.090000;FR
139.090000;FR
139.090000;FR
196.240000;ES
196.240000;ES
34.920000;FR
34.920000;FR
85.460000;FR
85.460000;FR
65.580000;ES
92.730000;FR
149.560000;FR
33.720000;FR
33.720000;FR
174.290000;FR
139.090000;FR
139.090000;FR
90.920000;FR
90.920000;FR
186.560000;FR
186.560000;FR
186.560000;FR
236.100000;FR
236.100000;FR
236.100000;FR
98.840000;FR
98.840000;FR
98.840000;FR
98.840000;FR
207.420000;BE
207.420000;BE
207.420000;BE
207.420000;BE
352.800000;US
352.800000;US
352.800000;US
352.800000;US
352.800000;US
352.800000;US
352.800000;US
352.800000;US
102.800000;ES
102.800000;ES
34.170000;FR
144.100000;FR
144.100000;FR
144.100000;FR
139.090000;FR
139.090000;FR
139.090000;FR
139.090000;FR
139.090000;FR
139.090000;FR
148.400000;IE
148.400000;IE
110.420000;FR
110.420000;FR
110.420000;FR
70.980000;FR
70.980000;FR
70.980000;FR
70.980000;FR
308.100000;FR
308.100000;FR
290.290000;FR
290.290000;FR
290.290000;FR
62.420000;FR
62.420000;FR
62.420000;FR
42.730000;BE
28.080000;FR
87.050000;ES
87.050000;ES
64.660000;FR
64.660000;FR
64.660000;FR
64.660000;FR
182.960000;FR
182.960000;FR
182.960000;FR
62.420000;FR
62.420000;FR
62.420000;FR
24.820000;FR
46.580000;FR
46.580000;FR
133.640000;BE
133.640000;BE
95.180000;ES
95.180000;ES
80.920000;FR
80.920000;FR
80.920000;FR
182.360000;FR
182.360000;FR
182.360000;FR
99.110000;FR
99.110000;FR
92.420000;FR
38.580000;FR
42.920000;FR
42.920000;FR
143.550000;AT
143.550000;AT
143.550000;AT
143.550000;AT
143.550000;AT
143.550000;AT
143.550000;AT
134.640000;FR
134.640000;FR
134.640000;FR
134.640000;FR
134.640000;FR
134.640000;FR
134.640000;FR
134.640000;FR
134.640000;FR
134.640000;FR
30.720000;BE
30.720000;BE
40.020000;FR
169.610000;FR
169.610000;FR
169.610000;FR
169.610000;FR
77.120000;FR
77.120000;FR
77.120000;FR
379.400000;CH
379.400000;CH
44.720000;BE
162.090000;FR
162.090000;FR
162.090000;FR
162.090000;FR
162.090000;FR
162.090000;FR
80.640000;FR
80.640000;FR
80.920000;FR
80.920000;FR
80.920000;FR
64.620000;BE
42.920000;FR
42.920000;FR
42.920000;FR
42.920000;FR
290.700000;FR
290.700000;FR
290.700000;FR
90.920000;FR
90.920000;FR
176.490000;FR
176.490000;FR
176.490000;FR
176.490000;FR
176.490000;FR
176.490000;FR
176.490000;FR
74.920000;FR
74.920000;FR
74.920000;FR
74.920000;FR
406.800000;BE
192.790000;FR
192.790000;FR
192.790000;FR
192.790000;FR
192.790000;FR
192.790000;FR
192.790000;FR
192.790000;FR
192.790000;FR
30.720000;FR
30.720000;FR
86.620000;FR
86.620000;FR
371.950000;FR
371.950000;FR
81.120000;FR
81.120000;FR
81.120000;FR
22.720000;BE
44.720000;FR
24.820000;BE
29.430000;BE
29.430000;BE
44.720000;BE
44.720000;FR
249.680000;GP
249.680000;GP
249.680000;GP
249.680000;GP
249.680000;GP
44.720000;BE
124.460000;FR
124.460000;FR
124.460000;FR
34.920000;FR
34.920000;FR
10.820000;BE
23.820000;FR
86.620000;FR
86.620000;FR
24.820000;FR
16.720000;BE
44.720000;FR
24.820000;FR
23.380000;FR
23.380000;FR
24.820000;BE
38.560000;FR
28.080000;FR
509.950000;NO
509.950000;NO
509.950000;NO
10.520000;BE
42.600000;BE
42.600000;BE
39.620000;FR
39.620000;FR
39.620000;FR
34.380000;FR
34.380000;FR
14.180000;FR
16.720000;BE
169.040000;FR
169.040000;FR
169.040000;FR
158.860000;FR
158.860000;FR
158.860000;FR
158.860000;FR
134.490000;FR
134.490000;FR
134.490000;FR
134.490000;FR
134.490000;FR
188.790000;FR
188.790000;FR
131.390000;FR
131.390000;FR
131.390000;FR
131.390000;FR
131.390000;FR
131.390000;FR
131.390000;FR
131.390000;FR
44.720000;FR
24.420000;BE
81.320000;FR
81.320000;FR
44.720000;BE
33.720000;BE
33.720000;BE
44.720000;BE
24.420000;FR
64.920000;BE
64.920000;BE
64.920000;BE
47.420000;FR
47.420000;FR
186.560000;FR
186.560000;FR
186.560000;FR
51.610000;FR
51.610000;FR
180.100000;FR
180.100000;FR
298.700000;FR
298.700000;FR
44.720000;BE
182.360000;FR
182.360000;FR
290.290000;FR
182.700000;FR
182.700000;FR
114.060000;FR
114.060000;FR
78.360000;FR
78.360000;FR
78.360000;FR
84.580000;ES
84.580000;ES
84.580000;ES
44.800000;GB
13.820000;BE
24.820000;FR
48.380000;FR
34.920000;FR
34.920000;FR
68.280000;FR
34.500000;BE
40.280000;FR
40.280000;FR
49.400000;CH
231.300000;PT
60.160000;FR
133.640000;FR
133.640000;FR
52.520000;FR
24.820000;FR
24.420000;FR
64.620000;BE
97.200000;BE
97.200000;BE
97.200000;BE
95.840000;FR
95.840000;FR
45.600000;BE
45.600000;BE
174.290000;FR
174.290000;FR
39.620000;BE
39.620000;BE
39.620000;BE
30.720000;FR
30.720000;FR
136.090000;FR
136.090000;FR
136.090000;FR
43.920000;FR
43.920000;FR
95.460000;FR
95.460000;FR
127.240000;FR
127.240000;FR
135.090000;FR
135.090000;FR
135.090000;FR
44.720000;FR
84.520000;BE
24.820000;BE
80.920000;FR
80.920000;FR
80.920000;FR
198.290000;FR
198.290000;FR
198.290000;FR
198.290000;FR
198.290000;FR
198.290000;FR
198.290000;FR
198.290000;FR
41.020000;FR
